source,dataset,department,dataset_url,licence_name,licence_version,licence_url,attribution,download_date
Cape Breton Regional Municipality (CBRM),CBRM Buildings,,https://www.thedatazone.ca/Mapping/CBRM_Buildings/sb2f-wrrc/about_data,Open Data & Information Government Licence - PVSC & Participating Municipalities,1,https://www.pvsc.ca/en/home/datazone/datazone-license.aspx,Contains information licensed under the Open Data & Information Government Licence - PVSC & Participating Municipalities,2024-11-12
City of Airdrie,Airdrie School Buildings,,https://data-airdrie.opendata.arcgis.com/datasets/fd0b9313494f4015bb68cd4900f2b654_0/explore,Open Data Licence - City of Airdrie,1,https://data-airdrie.opendata.arcgis.com/pages/our-open-licence,Contains information licensed under the Open Data Licence - City of Airdrie.,2025-01-09
City of Airdrie,Airdrie 2018 Building Footprints,,https://data-airdrie.opendata.arcgis.com/datasets/fcbf3ac4d8fc462492256515d1552aa6_0/explore,Open Data Licence - City of Airdrie,1,https://data-airdrie.opendata.arcgis.com/pages/our-open-licence,Contains information licensed under the Open Data Licence - City of Airdrie.,2024-11-20
City of Airdrie,Airdrie Address Points,,https://data-airdrie.opendata.arcgis.com/datasets/5a0ca43e3e2b415d807e153c090e751a_0/explore,Open Data Licence - City of Airdrie,1,https://data-airdrie.opendata.arcgis.com/pages/our-open-licence,Contains information licensed under the Open Data Licence - City of Airdrie.,2025-01-09
City of Barrie,Park Structure,,https://opendata.barrie.ca/datasets/b53495a628ef4ac2a5891ddf9c79d9b8_20/explore,Open Government Licence - Barrie.,1,https://www.barrie.ca/Online%20Services/PublishingImages/OpenData_Images/COB_DataLicense.pdf,Contains information licensed under the Open Government Licence - Barrie.,2025-03-10
City of Barrie,Water Facility,,https://public-barrie.opendata.arcgis.com/datasets/91e679e47c2a4fa0b7b68bda4b33832d_9/explore,Open Government Licence - Barrie.,1,https://www.barrie.ca/Online%20Services/PublishingImages/OpenData_Images/COB_DataLicense.pdf,Contains information licensed under the Open Government Licence - Barrie.,2024-12-18
City of Barrie,Registered Two Unit Houses,,https://opendata.barrie.ca/datasets/1da609ba85a247f5ae3a20286a34a168_3/explore,Open Government Licence - Barrie.,1,https://www.barrie.ca/Online%20Services/PublishingImages/OpenData_Images/COB_DataLicense.pdf,Contains information licensed under the Open Government Licence - Barrie.,2025-03-10
City of Barrie,Address VW,,https://opendata.barrie.ca/datasets/4902c7fd1aff42fb892a9d4e51428b95/explore,Open Government Licence - Barrie.,1,https://www.barrie.ca/Online%20Services/PublishingImages/OpenData_Images/COB_DataLicense.pdf,Contains information licensed under the Open Government Licence - Barrie.,2025-04-04
City of Barrie,Facility Site Point,,https://public-barrie.opendata.arcgis.com/datasets/42b5130fad464b5895909c2a1e9a515e_0/explore,Open Government Licence - Barrie.,1,https://www.barrie.ca/Online%20Services/PublishingImages/OpenData_Images/COB_DataLicense.pdf,Contains information licensed under the Open Government Licence - Barrie.,2024-12-18
City of Barrie,Buildings,,https://opendata.barrie.ca/datasets/d4efce7dd9b8448e9ab7458e93aae6d0_36/explore,Open Government Licence - Barrie.,1,https://www.barrie.ca/Online%20Services/PublishingImages/OpenData_Images/COB_DataLicense.pdf,Contains information licensed under the Open Government Licence - Barrie.,2024-11-18
City of Brampton,Recreation Centres,,https://geohub.brampton.ca/datasets/ff37167a92ce454bac4f5a42695df28d_6/explore,CC BY 4.0,4,https://creativecommons.org/licenses/by/4.0/,"Data provided by the City of Brampton, under the Creative Commons by 4.0 licence, https://creativecommons.org/licenses/by/4.0/.",2024-12-19
City of Brampton,Supplementary City Facilities,,https://geohub.brampton.ca/datasets/c9bc65f519c5442db7d682816d7c711c_15/explore,CC BY 4.0,4,https://creativecommons.org/licenses/by/4.0/,"Data provided by the City of Brampton, under the Creative Commons by 4.0 licence, https://creativecommons.org/licenses/by/4.0/.",2024-12-19
City of Brampton,Hospitals,,https://geohub.brampton.ca/datasets/237e679bbdb641b2bd90b033df384b49_9/explore,CC BY 4.0,4,https://creativecommons.org/licenses/by/4.0/,"Data provided by the City of Brampton, under the Creative Commons by 4.0 licence, https://creativecommons.org/licenses/by/4.0/.",2024-12-19
City of Brampton,Public Parking Garages,,https://geohub.brampton.ca/datasets/a000ba5245f84e2dac8216b92a75802a_0/explore,CC BY 4.0,4,https://creativecommons.org/licenses/by/4.0/,"Data provided by the City of Brampton, under the Creative Commons by 4.0 licence, https://creativecommons.org/licenses/by/4.0/.",2024-12-19
City of Brampton,Go Stations,,https://geohub.brampton.ca/datasets/a97de5e7fcc4460e8033ca210febcf3b_8/explore,CC BY 4.0,4,https://creativecommons.org/licenses/by/4.0/,"Data provided by the City of Brampton, under the Creative Commons by 4.0 licence, https://creativecommons.org/licenses/by/4.0/.",2024-12-19
City of Brampton,Heritage Points,,https://geohub.brampton.ca/datasets/6a4c6f9af0104e12941d67251e20ab8b_2/explore,CC BY 4.0,4,https://creativecommons.org/licenses/by/4.0/,"Data provided by the City of Brampton, under the Creative Commons by 4.0 licence, https://creativecommons.org/licenses/by/4.0/.",2024-12-19
City of Brampton,Building Footprints,,https://geohub.brampton.ca/datasets/6cfdf355719a452ba445ca35cb0bbd88_0/explore,CC BY 4.0,4,https://creativecommons.org/licenses/by/4.0/,"Data provided by the City of Brampton, under the Creative Commons by 4.0 licence, https://creativecommons.org/licenses/by/4.0/.",2024-11-26
City of Brampton,Libraries,,https://geohub.brampton.ca/datasets/d1352170770448b78deda4dd966d78ad_5/explore,CC BY 4.0,4,https://creativecommons.org/licenses/by/4.0/,"Data provided by the City of Brampton, under the Creative Commons by 4.0 licence, https://creativecommons.org/licenses/by/4.0/.",2024-12-19
City of Brampton,Schools,,https://geohub.brampton.ca/datasets/b65a68cc64834d44bae236f6e44ceed3_1/explore,CC BY 4.0,4,https://creativecommons.org/licenses/by/4.0/,"Data provided by the City of Brampton, under the Creative Commons by 4.0 licence, https://creativecommons.org/licenses/by/4.0/.",2024-12-19
City of Brampton,Fire Stations,,https://geohub.brampton.ca/datasets/903786a0b2a24e52b146856864d029ad_0/explore,CC BY 4.0,4,https://creativecommons.org/licenses/by/4.0/,"Data provided by the City of Brampton, under the Creative Commons by 4.0 licence, https://creativecommons.org/licenses/by/4.0/.",2024-12-19
City of Brampton,Region of Peel Places of Worship,,https://geohub.brampton.ca/datasets/e2755f3a31ab48489e6f07c542c2b6f8_0/explore,CC BY 4.0,4,https://creativecommons.org/licenses/by/4.0/,"Data provided by the City of Brampton, under the Creative Commons by 4.0 licence, https://creativecommons.org/licenses/by/4.0/.",2025-03-10
City of Brampton,Address Points,,https://geohub.brampton.ca/datasets/56bd6b5ac117445db5e64d14b72e061e_14/explore,CC BY 4.0,4,https://creativecommons.org/licenses/by/4.0/,"Data provided by the City of Brampton, under the Creative Commons by 4.0 licence, https://creativecommons.org/licenses/by/4.0/.",2025-02-14
City of Brantford,City of Brantford Building Footprints,,https://data-brantford.opendata.arcgis.com/datasets/51c33215a26740f79c69d35e7368ce01_0/explore,Open Government Licence - Brantford,1,https://data-brantford.opendata.arcgis.com/pages/licence,Contains information licensed under the Open Government Licence - Brantford.,2024-11-26
City of Brantford,City of Brantford Site Addresses 2,,https://data-brantford.opendata.arcgis.com/datasets/8fa270cb0c174bd99b52a11260f60f15_0/explore,Open Government Licence - Brantford,1,https://data-brantford.opendata.arcgis.com/pages/licence,Contains information licensed under the Open Government Licence - Brantford.,2025-01-14
City of Burlington,Facilities,,https://navburl-burlington.opendata.arcgis.com/datasets/2fa83f77be9147a39e4bb5f82f34a0c5_0/explore,City of Burlington - Open Data Terms of Use,,https://opendata.burlington.ca/opendata-terms-of-use/City%20of%20Burlington%20-%20Open%20Data%20Terms%20of%20Use.pdf,"Data is freely provided by the City of Burlington, under the open data terms of use, https://opendata.burlington.ca/opendata-terms-of-use/City%20of%20Burlington%20-%20Open%20Data%20Terms%20of%20Use.pdf.",2025-01-02
City of Burlington,Buildings,,https://navburl-burlington.opendata.arcgis.com/datasets/f15a0b676f90490dbbf741836da56818_0/explore,City of Burlington - Open Data Terms of Use,,https://opendata.burlington.ca/opendata-terms-of-use/City%20of%20Burlington%20-%20Open%20Data%20Terms%20of%20Use.pdf,"Data is freely provided by the City of Burlington, under the open data terms of use, https://opendata.burlington.ca/opendata-terms-of-use/City%20of%20Burlington%20-%20Open%20Data%20Terms%20of%20Use.pdf.",2024-11-26
City of Burlington,Address Points,,https://navburl-burlington.opendata.arcgis.com/datasets/d923cecae518430da70f9a29a0ea9b4d_0/explore,City of Burlington - Open Data Terms of Use,,https://opendata.burlington.ca/opendata-terms-of-use/City%20of%20Burlington%20-%20Open%20Data%20Terms%20of%20Use.pdf,"Data is freely provided by the City of Burlington, under the open data terms of use, https://opendata.burlington.ca/opendata-terms-of-use/City%20of%20Burlington%20-%20Open%20Data%20Terms%20of%20Use.pdf.",2025-01-02
City of Burlington,Libraries,,https://navburl-burlington.opendata.arcgis.com/datasets/e0b601aeb7e148fba9c9cd48c444d25a_1/explore,City of Burlington - Open Data Terms of Use,,https://opendata.burlington.ca/opendata-terms-of-use/City%20of%20Burlington%20-%20Open%20Data%20Terms%20of%20Use.pdf,"Data is freely provided by the City of Burlington, under the open data terms of use, https://opendata.burlington.ca/opendata-terms-of-use/City%20of%20Burlington%20-%20Open%20Data%20Terms%20of%20Use.pdf.",2025-01-02
City of Burlington,Fire Stations,,https://navburl-burlington.opendata.arcgis.com/datasets/de24cc8a13e946c9b63c266d84ef4878_0/explore,City of Burlington - Open Data Terms of Use,,https://opendata.burlington.ca/opendata-terms-of-use/City%20of%20Burlington%20-%20Open%20Data%20Terms%20of%20Use.pdf,"Data is freely provided by the City of Burlington, under the open data terms of use, https://opendata.burlington.ca/opendata-terms-of-use/City%20of%20Burlington%20-%20Open%20Data%20Terms%20of%20Use.pdf.",2025-01-02
City of Burnaby,Heritage Buildings,,https://data.burnaby.ca/datasets/8b9b0b7b2ed142b6856a92feeb7e7e8b_2/explore,Open Government Licence - City of Burnaby,2,https://data.burnaby.ca/pages/open-government-licence,Contains information licensed under the Open Government Licence - British Columbia.,2025-04-07
City of Burnaby,SkyTrain Station,,https://data.burnaby.ca/datasets/cff871aeb8494cb58dd65a2d06af9454_10/explore,Open Government Licence - City of Burnaby,2,https://data.burnaby.ca/pages/open-government-licence,Contains information licensed under the Open Government Licence - British Columbia.,2024-12-18
City of Burnaby,Building Outlines,,https://data.burnaby.ca/datasets/bb49db20645f40c9bca8f99bf9f79164_18/explore,Open Government Licence - City of Burnaby,2,https://data.burnaby.ca/pages/open-government-licence,Contains information licensed under the Open Government Licence - British Columbia.,2024-12-18
City of Burnaby,Civic Places,,https://data.burnaby.ca/datasets/4e99b5545f59441ea9a0cfcfaf656e1a_1/explore,Open Government Licence - City of Burnaby,2,https://data.burnaby.ca/pages/open-government-licence,Contains information licensed under the Open Government Licence - British Columbia.,2024-12-18
City of Calgary,Buildings,,https://data.calgary.ca/Base-Maps/Buildings/uc4c-6kbd/about_data,Open Government Licence - City of Calgary,2.1,https://data.calgary.ca/stories/s/Open-Calgary-Terms-of-Use/u45n-7awa,Contains information licensed under the Open Government Licence - City of Calgary.,2024-11-20
City of Calgary,Schools,,https://data.calgary.ca/Services-and-Amenities/Schools/fd9t-tdn2/data,Open Government Licence - City of Calgary,2.1,https://data.calgary.ca/stories/s/Open-Calgary-Terms-of-Use/u45n-7awa,Contains information licensed under the Open Government Licence - City of Calgary.,2025-01-10
City of Calgary,Community Services,,https://data.calgary.ca/Services-and-Amenities/Community-Services/x34e-bcjz/about_data,Open Government Licence - City of Calgary,2.1,https://data.calgary.ca/stories/s/Open-Calgary-Terms-of-Use/u45n-7awa,Contains information licensed under the Open Government Licence - City of Calgary.,2025-01-10
City of Calgary,Police Service,,https://data.calgary.ca/Health-and-Safety/Police-Service/ap4r-bav3/about_data,Open Government Licence - City of Calgary,2.1,https://data.calgary.ca/stories/s/Open-Calgary-Terms-of-Use/u45n-7awa,Contains information licensed under the Open Government Licence - City of Calgary.,2025-01-10
City of Calgary,EMS Stations,,https://data.calgary.ca/Health-and-Safety/EMS-Stations/s6f4-ijrf/about_data,Open Government Licence - City of Calgary,2.1,https://data.calgary.ca/stories/s/Open-Calgary-Terms-of-Use/u45n-7awa,Contains information licensed under the Open Government Licence - City of Calgary.,2025-01-10
City of Calgary,Fire Stations,,https://data.calgary.ca/Health-and-Safety/Fire-Stations/cqsb-2hhg/about_data,Open Government Licence - City of Calgary,2.1,https://data.calgary.ca/stories/s/Open-Calgary-Terms-of-Use/u45n-7awa,Contains information licensed under the Open Government Licence - City of Calgary.,2025-01-10
City of Calgary,Recreation Facilities,,https://data.calgary.ca/Recreation-and-Culture/Recreation-Facilities/hxfu-6d96/about_data,Open Government Licence - City of Calgary,2.1,https://data.calgary.ca/stories/s/Open-Calgary-Terms-of-Use/u45n-7awa,Contains information licensed under the Open Government Licence - City of Calgary.,2025-01-10
City of Calgary,Parcel Address,,https://data.calgary.ca/Base-Maps/Parcel-Address/9zvu-p8uz/about_data,Open Government Licence - City of Calgary,2.1,https://data.calgary.ca/stories/s/Open-Calgary-Terms-of-Use/u45n-7awa,Contains information licensed under the Open Government Licence - City of Calgary.,2025-02-16
